Sierra Code	FOLIO Code	Count		
92110	CU/B/INN/92110			
92120	CU/B/INN/92120			
92130	CU/B/INN/92130			
92140	CU/B/INN/92140			
92150	CU/B/INN/92150			
92160	CU/B/INN/92160			
92170	CU/B/INN/92170			
92180	CU/B/INN/92180			
92190	CU/B/INN/92190			
92210	CU/B/INN/92210			
92220	CU/B/INN/92220			
92230	CU/B/INN/92230			
92240	CU/B/INN/92240			
92250	CU/B/INN/92250			
92260	CU/B/INN/92260			
92270	CU/B/INN/92270			
92280	CU/B/INN/92280			
92290	CU/B/INN/92290			
92310	CU/B/INN/92310			
92320	CU/B/INN/92320			
92330	CU/B/INN/92330			
92340	CU/B/INN/92340			
92350	CU/B/INN/92350			
92360	CU/B/INN/92360			
92370	CU/B/INN/92370			
92380	CU/B/INN/92380			
92390	CU/B/INN/92390			
92410	CU/B/INN/92410			
92420	CU/B/INN/92420			
92430	CU/B/INN/92430			
92440	CU/B/INN/92440			
92450	CU/B/INN/92450			
92460	CU/B/INN/92460			
92470	CU/B/INN/92470			
92480	CU/B/INN/92480			
92490	CU/B/INN/92490			
92510	CU/B/INN/92510			
92520	CU/B/INN/92520			
92530	CU/B/INN/92530			
92540	CU/B/INN/92540			
92550	CU/B/INN/92550			
92560	CU/B/INN/92560			
92570	CU/B/INN/92570			
92580	CU/B/INN/92580			
92590	CU/B/INN/92590			
92610	CU/B/INN/92610			
92620	CU/B/INN/92620			
92640	CU/B/INN/92640			
92650	CU/B/INN/92650			
92660	CU/B/INN/92660			
92670	CU/B/INN/92670			
92680	CU/B/INN/92680			
92690	CU/B/INN/92690			
92710	CU/B/INN/92710			
92720	CU/B/INN/92720			
92730	CU/B/INN/92730			
92740	CU/B/INN/92740			
93000	CU/B/INN/93000			
93110	CU/B/INN/93110			
93120	CU/B/INN/93120			
93130	CU/B/INN/93130			
93140	CU/B/INN/93140			
93150	CU/B/INN/93150			
93160	CU/B/INN/93160			
93180	CU/B/INN/93180			
93190	CU/B/INN/93190			
93210	CU/B/INN/93210			
93220	CU/B/INN/93220			
93230	CU/B/INN/93230			
93240	CU/B/INN/93240			
93250	CU/B/INN/93250			
93260	CU/B/INN/93260			
93270	CU/B/INN/93270			
93280	CU/B/INN/93280			
93290	CU/B/INN/93290			
93310	CU/B/INN/93310			
93320	CU/B/INN/93320			
93330	CU/B/INN/93330			
93340	CU/B/INN/93340			
93350	CU/B/INN/93350			
93360	CU/B/INN/93360			
93370	CU/B/INN/93370			
93380	CU/B/INN/93380			
93390	CU/B/INN/93390			
93410	CU/B/INN/93410			
93420	CU/B/INN/93420			
93430	CU/B/INN/93430			
93440	CU/B/INN/93440			
93450	CU/B/INN/93450			
93460	CU/B/INN/93460			
93470	CU/B/INN/93470			
93480	CU/B/INN/93480			
93490	CU/B/INN/93490			
94000	CU/B/INN/94000			
94110	CU/B/INN/94110			
94120	CU/B/INN/94120			
94130	CU/B/INN/94130			
94140	CU/B/INN/94140			
94150	CU/B/INN/94150			
94160	CU/B/INN/94160			
94170	CU/B/INN/94170			
94180	CU/B/INN/94180			
94210	CU/B/INN/94210			
94220	CU/B/INN/94220			
94230	CU/B/INN/94230			
94250	CU/B/INN/94250			
94270	CU/B/INN/94270			
94280	CU/B/INN/94280			
95000	CU/B/INN/95000			
95110	CU/B/INN/95110			
95120	CU/B/INN/95120			
95130	CU/B/INN/95130			
95140	CU/B/INN/95140			
95150	CU/B/INN/95150			
95160	CU/B/INN/95160			
95170	CU/B/INN/95170			
95180	CU/B/INN/95180			
95190	CU/B/INN/95190			
95210	CU/B/INN/95210			
95220	CU/B/INN/95220			
95230	CU/B/INN/95230			
95240	CU/B/INN/95240			
95250	CU/B/INN/95250			
95260	CU/B/INN/95260			
95270	CU/B/INN/95270			
95280	CU/B/INN/95280			
95290	CU/B/INN/95290			
95310	CU/B/INN/95310			
95320	CU/B/INN/95320			
95330	CU/B/INN/95330			
95340	CU/B/INN/95340			
95350	CU/B/INN/95350			
95360	CU/B/INN/95360			
95370	CU/B/INN/95370			
95380	CU/B/INN/95380			
95390	CU/B/INN/95390			
95410	CU/B/INN/95410			
95420	CU/B/INN/95420			
96110	CU/B/INN/96110			
96120	CU/B/INN/96120			
96130	CU/B/INN/96130			
96140	CU/B/INN/96140			
96150	CU/B/INN/96150			
96160	CU/B/INN/96160			
96170	CU/B/INN/96170			
96180	CU/B/INN/96180			
96190	CU/B/INN/96190			
6altn	CU/B/INN/6altn			
6arch	CU/B/INN/6arch			
6arth	CU/B/INN/6arth			
6atsu	CU/B/INN/6atsu			
6avil	CU/B/INN/6avil			
6bbco	CU/B/INN/6bbco			
6brid	CU/B/INN/6brid			
6cabb	CU/B/INN/6cabb			
6cals	CU/B/INN/6cals			
6cmuu	CU/B/INN/6cmuu			
6colc	CU/B/INN/6colc			
6conc	CU/B/INN/6conc			
6cott	CU/B/INN/6cott			
6crow	CU/B/INN/6crow			
6culv	CU/B/INN/6culv			
6cvts	CU/B/INN/6cvts			
6davn	CU/B/INN/6davn			
6drur	CU/B/INN/6drur			
6eacc	CU/B/INN/6eacc			
6edwe	CU/B/INN/6edwe			
6emo1	CU/B/INN/6emo1			
6emo2	CU/B/INN/6emo2			
6emo3	CU/B/INN/6emo3			
6emo4	CU/B/INN/6emo4			
6emo5	CU/B/INN/6emo5			
6emo6	CU/B/INN/6emo6			
6evan	CU/B/INN/6evan			
6font	CU/B/INN/6font			
6gala	CU/B/INN/6gala			
6gfrb	CU/B/INN/6gfrb			
6grdn	CU/B/INN/6grdn			
6hala	CU/B/INN/6hala			
6hssu	CU/B/INN/6hssu			
6jeff	CU/B/INN/6jeff			
6kcai	CU/B/INN/6kcai			
6kckc	CU/B/INN/6kckc			
6kcun	CU/B/INN/6kcun			
6kgts	CU/B/INN/6kgts			
6lanc	CU/B/INN/6lanc			
6linc	CU/B/INN/6linc			
6lind	CU/B/INN/6lind			
6logn	CU/B/INN/6logn			
6macc	CU/B/INN/6macc			
6mary	CU/B/INN/6mary			
6mbts	CU/B/INN/6mbts			
6mcmc	CU/B/INN/6mcmc			
6mhis	CU/B/INN/6mhis			
6mnac	CU/B/INN/6mnac			
6mobu	CU/B/INN/6mobu			
6mosl	CU/B/INN/6mosl			
6mosu	CU/B/INN/6mosu			
6movc	CU/B/INN/6movc			
6mrln	CU/B/INN/6mrln			
6mrrl	CU/B/INN/6mrrl			
6mshs	CU/B/INN/6mshs			
6mssu	CU/B/INN/6mssu			
6must	CU/B/INN/6must			
6mwsu	CU/B/INN/6mwsu			
6ncmc	CU/B/INN/6ncmc			
6nmsu	CU/B/INN/6nmsu			
6nzts	CU/B/INN/6nzts			
6otcc	CU/B/INN/6otcc			
6ozcc	CU/B/INN/6ozcc			
6palm	CU/B/INN/6palm			
6park	CU/B/INN/6park			
6ques	CU/B/INN/6ques			
6rock	CU/B/INN/6rock			
6sccc	CU/B/INN/6sccc			
6semo	CU/B/INN/6semo			
6sfcc	CU/B/INN/6sfcc			
6slam		1	DO NOT MIGRATE	
6slam	CU/B/INN/6slam			
6slcc	CU/B/INN/6slcc			
6slcp	CU/B/INN/6slcp			
6slou	CU/B/INN/6slou			
6slrl	CU/B/INN/6slrl			
6sluh	CU/B/INN/6sluh			
